query,context,answer,expected_output,tfft,e2e_latency,itl,tps,retriever_time,input_context_size,output_tokens_size
What does Mrs. Tittlemouse keep beside her bed?,"Tittlemouse is a ""most terribly tidy little mouse always sweeping and dusting the soft sandy floors"" in the ""yards and yards"" of passages and storerooms, nut-cellars, and seed-cellars in her ""funny house"" amongst the roots of a hedge. She has a kitchen, a parlour, a pantry, a larder, and a bedroom where she keeps her dust-pan and brush next to her little box bed.
He discovers a butterfly in the sugar bowl, but when he finds the bees, he makes a big mess pulling out their nest. Mrs. Tittlemouse fears she ""shall go distracted"" as a result of the turmoil and takes refuge in the nut-cellar. When she finally ventures forth, she discovers everybody has left but her house is a mess. She takes some moss, beeswax, and twigs to partly close up her front door to keep Mr.
Tiggy-winkle [is] nothing but a HEDGEHOG!""
The narrator tells the reader that some thought Lucie had fallen asleep on the stile and dreamed the encounter, but if so, then how could she have three clean handkerchiefs and a laundered pinafore? ""Besides,"" the narrator assures the reader, ""I have seen that door into the back of the hill called Catbells – and besides I am very well acquainted with dear Mrs.
Mrs. Tittlemouse is a tale in which no humans play a part and one in which events are treated as though they have occurred since time immemorial and far from human observance. It is a simple story, and one likely to appeal to young children.
Mrs.
Her little black nose goes sniffle, sniffle, snuffle, and her eyes go twinkle, twinkle, and beneath her little white cap are prickles! She is Mrs. Tiggy-winkle, the animals' laundress and ""an excellent clear-starcher"". She keeps busy with her work. She has found Lucy's lost things, and launders them for her. She also shows Lucie items belonging to Mrs.
At the bottom of the hill, Lucie mounts the stile and turns to thank Mrs. Tiggy-winkle. ""But what a very odd thing!"" Mrs. Tiggy-winkle is ""running running running up the hill"". Her cap, shawl, and print gown are nowhere to be seen. How small and brown she has grown – and covered with prickles! ""Why! Mrs.
Tiggywinkle's animal customers. They have tea together though Lucie keeps away from Mrs. Tiggywinkle due to the prickles.
The laundered clothing is tied up in bundles and Lucie's handkerchiefs are neatly folded into her clean pinafore. They set off together down the path to return the fresh laundry to the little animals and birds in the neighbourhood.
He takes no offence at being excluded from the parlour. Acorn-cupfuls of honeydew are passed through the window to him and he toasts Mrs. Tittlemouse's good health.
A little girl named Lucie lives on a farm called Little-town. She is a good little girl, but has lost three pocket handkerchiefs and a pinafore. She questions Tabby Kitten and Sally Henny-penny about them, but they know nothing (especially since Tabby Kitten licks her paw, and Sally Henny-penny flaps back into the barn clucking, ""I go barefoot, barefoot, barefoot!""
Tittlemouse meets Babbitty Bumble, a bumble bee who has taken up residence with three or four other bees in one of the empty storerooms. Mrs. Tittlemouse tries to pull out their nest but they buzz fiercely at her, and she retreats to deal with the matter after dinner.
In her parlour, she finds her toad neighbour Mr. Jackson sitting before the fire in her rocking chair. Mr.",A dust-pan and brush.,A dust pan and brush,0.6008703708648682,0.8784441947937012,0.034675538539886475,32.44362012448454,1.1114122867584229,906,8
What does Mrs. Tittlemouse keep beside her bed?,"Tittlemouse is a ""most terribly tidy little mouse always sweeping and dusting the soft sandy floors"" in the ""yards and yards"" of passages and storerooms, nut-cellars, and seed-cellars in her ""funny house"" amongst the roots of a hedge. She has a kitchen, a parlour, a pantry, a larder, and a bedroom where she keeps her dust-pan and brush next to her little box bed.
He discovers a butterfly in the sugar bowl, but when he finds the bees, he makes a big mess pulling out their nest. Mrs. Tittlemouse fears she ""shall go distracted"" as a result of the turmoil and takes refuge in the nut-cellar. When she finally ventures forth, she discovers everybody has left but her house is a mess. She takes some moss, beeswax, and twigs to partly close up her front door to keep Mr.
Tiggy-winkle [is] nothing but a HEDGEHOG!""
The narrator tells the reader that some thought Lucie had fallen asleep on the stile and dreamed the encounter, but if so, then how could she have three clean handkerchiefs and a laundered pinafore? ""Besides,"" the narrator assures the reader, ""I have seen that door into the back of the hill called Catbells – and besides I am very well acquainted with dear Mrs.
Mrs. Tittlemouse is a tale in which no humans play a part and one in which events are treated as though they have occurred since time immemorial and far from human observance. It is a simple story, and one likely to appeal to young children.
Mrs.
Her little black nose goes sniffle, sniffle, snuffle, and her eyes go twinkle, twinkle, and beneath her little white cap are prickles! She is Mrs. Tiggy-winkle, the animals' laundress and ""an excellent clear-starcher"". She keeps busy with her work. She has found Lucy's lost things, and launders them for her. She also shows Lucie items belonging to Mrs.
At the bottom of the hill, Lucie mounts the stile and turns to thank Mrs. Tiggy-winkle. ""But what a very odd thing!"" Mrs. Tiggy-winkle is ""running running running up the hill"". Her cap, shawl, and print gown are nowhere to be seen. How small and brown she has grown – and covered with prickles! ""Why! Mrs.
Tiggywinkle's animal customers. They have tea together though Lucie keeps away from Mrs. Tiggywinkle due to the prickles.
The laundered clothing is tied up in bundles and Lucie's handkerchiefs are neatly folded into her clean pinafore. They set off together down the path to return the fresh laundry to the little animals and birds in the neighbourhood.
He takes no offence at being excluded from the parlour. Acorn-cupfuls of honeydew are passed through the window to him and he toasts Mrs. Tittlemouse's good health.
A little girl named Lucie lives on a farm called Little-town. She is a good little girl, but has lost three pocket handkerchiefs and a pinafore. She questions Tabby Kitten and Sally Henny-penny about them, but they know nothing (especially since Tabby Kitten licks her paw, and Sally Henny-penny flaps back into the barn clucking, ""I go barefoot, barefoot, barefoot!""
Tittlemouse meets Babbitty Bumble, a bumble bee who has taken up residence with three or four other bees in one of the empty storerooms. Mrs. Tittlemouse tries to pull out their nest but they buzz fiercely at her, and she retreats to deal with the matter after dinner.
In her parlour, she finds her toad neighbour Mr. Jackson sitting before the fire in her rocking chair. Mr.",A dust-pan.,A dust pan and brush,0.17547011375427246,0.3542656898498535,0.029770970344543457,39.18806317579427,0.07548999786376953,906,6
What does Mrs. Tittlemouse keep beside her bed?,"Tittlemouse is a ""most terribly tidy little mouse always sweeping and dusting the soft sandy floors"" in the ""yards and yards"" of passages and storerooms, nut-cellars, and seed-cellars in her ""funny house"" amongst the roots of a hedge. She has a kitchen, a parlour, a pantry, a larder, and a bedroom where she keeps her dust-pan and brush next to her little box bed.
He discovers a butterfly in the sugar bowl, but when he finds the bees, he makes a big mess pulling out their nest. Mrs. Tittlemouse fears she ""shall go distracted"" as a result of the turmoil and takes refuge in the nut-cellar. When she finally ventures forth, she discovers everybody has left but her house is a mess. She takes some moss, beeswax, and twigs to partly close up her front door to keep Mr.
Tiggy-winkle [is] nothing but a HEDGEHOG!""
The narrator tells the reader that some thought Lucie had fallen asleep on the stile and dreamed the encounter, but if so, then how could she have three clean handkerchiefs and a laundered pinafore? ""Besides,"" the narrator assures the reader, ""I have seen that door into the back of the hill called Catbells – and besides I am very well acquainted with dear Mrs.
Mrs. Tittlemouse is a tale in which no humans play a part and one in which events are treated as though they have occurred since time immemorial and far from human observance. It is a simple story, and one likely to appeal to young children.
Mrs.
Her little black nose goes sniffle, sniffle, snuffle, and her eyes go twinkle, twinkle, and beneath her little white cap are prickles! She is Mrs. Tiggy-winkle, the animals' laundress and ""an excellent clear-starcher"". She keeps busy with her work. She has found Lucy's lost things, and launders them for her. She also shows Lucie items belonging to Mrs.
At the bottom of the hill, Lucie mounts the stile and turns to thank Mrs. Tiggy-winkle. ""But what a very odd thing!"" Mrs. Tiggy-winkle is ""running running running up the hill"". Her cap, shawl, and print gown are nowhere to be seen. How small and brown she has grown – and covered with prickles! ""Why! Mrs.
Tiggywinkle's animal customers. They have tea together though Lucie keeps away from Mrs. Tiggywinkle due to the prickles.
The laundered clothing is tied up in bundles and Lucie's handkerchiefs are neatly folded into her clean pinafore. They set off together down the path to return the fresh laundry to the little animals and birds in the neighbourhood.
He takes no offence at being excluded from the parlour. Acorn-cupfuls of honeydew are passed through the window to him and he toasts Mrs. Tittlemouse's good health.
A little girl named Lucie lives on a farm called Little-town. She is a good little girl, but has lost three pocket handkerchiefs and a pinafore. She questions Tabby Kitten and Sally Henny-penny about them, but they know nothing (especially since Tabby Kitten licks her paw, and Sally Henny-penny flaps back into the barn clucking, ""I go barefoot, barefoot, barefoot!""
Tittlemouse meets Babbitty Bumble, a bumble bee who has taken up residence with three or four other bees in one of the empty storerooms. Mrs. Tittlemouse tries to pull out their nest but they buzz fiercely at her, and she retreats to deal with the matter after dinner.
In her parlour, she finds her toad neighbour Mr. Jackson sitting before the fire in her rocking chair. Mr.",Dust-pan and brush.,A dust pan and brush,0.1765427589416504,0.426422119140625,0.031213313341140747,36.0423127049826,0.07648277282714844,906,8
What does Mrs. Tittlemouse keep beside her bed?,"Tittlemouse is a ""most terribly tidy little mouse always sweeping and dusting the soft sandy floors"" in the ""yards and yards"" of passages and storerooms, nut-cellars, and seed-cellars in her ""funny house"" amongst the roots of a hedge. She has a kitchen, a parlour, a pantry, a larder, and a bedroom where she keeps her dust-pan and brush next to her little box bed.
He discovers a butterfly in the sugar bowl, but when he finds the bees, he makes a big mess pulling out their nest. Mrs. Tittlemouse fears she ""shall go distracted"" as a result of the turmoil and takes refuge in the nut-cellar. When she finally ventures forth, she discovers everybody has left but her house is a mess. She takes some moss, beeswax, and twigs to partly close up her front door to keep Mr.
Tiggy-winkle [is] nothing but a HEDGEHOG!""
The narrator tells the reader that some thought Lucie had fallen asleep on the stile and dreamed the encounter, but if so, then how could she have three clean handkerchiefs and a laundered pinafore? ""Besides,"" the narrator assures the reader, ""I have seen that door into the back of the hill called Catbells – and besides I am very well acquainted with dear Mrs.
Mrs. Tittlemouse is a tale in which no humans play a part and one in which events are treated as though they have occurred since time immemorial and far from human observance. It is a simple story, and one likely to appeal to young children.
Mrs.
Her little black nose goes sniffle, sniffle, snuffle, and her eyes go twinkle, twinkle, and beneath her little white cap are prickles! She is Mrs. Tiggy-winkle, the animals' laundress and ""an excellent clear-starcher"". She keeps busy with her work. She has found Lucy's lost things, and launders them for her. She also shows Lucie items belonging to Mrs.
At the bottom of the hill, Lucie mounts the stile and turns to thank Mrs. Tiggy-winkle. ""But what a very odd thing!"" Mrs. Tiggy-winkle is ""running running running up the hill"". Her cap, shawl, and print gown are nowhere to be seen. How small and brown she has grown – and covered with prickles! ""Why! Mrs.
Tiggywinkle's animal customers. They have tea together though Lucie keeps away from Mrs. Tiggywinkle due to the prickles.
The laundered clothing is tied up in bundles and Lucie's handkerchiefs are neatly folded into her clean pinafore. They set off together down the path to return the fresh laundry to the little animals and birds in the neighbourhood.
He takes no offence at being excluded from the parlour. Acorn-cupfuls of honeydew are passed through the window to him and he toasts Mrs. Tittlemouse's good health.
A little girl named Lucie lives on a farm called Little-town. She is a good little girl, but has lost three pocket handkerchiefs and a pinafore. She questions Tabby Kitten and Sally Henny-penny about them, but they know nothing (especially since Tabby Kitten licks her paw, and Sally Henny-penny flaps back into the barn clucking, ""I go barefoot, barefoot, barefoot!""
Tittlemouse meets Babbitty Bumble, a bumble bee who has taken up residence with three or four other bees in one of the empty storerooms. Mrs. Tittlemouse tries to pull out their nest but they buzz fiercely at her, and she retreats to deal with the matter after dinner.
In her parlour, she finds her toad neighbour Mr. Jackson sitting before the fire in her rocking chair. Mr.",A dust-pan and brush.,A dust pan and brush,0.1768946647644043,0.42691898345947266,0.031230509281158447,36.02246732104107,0.06888508796691895,906,8
What does Mrs. Tittlemouse keep beside her bed?,"Tittlemouse is a ""most terribly tidy little mouse always sweeping and dusting the soft sandy floors"" in the ""yards and yards"" of passages and storerooms, nut-cellars, and seed-cellars in her ""funny house"" amongst the roots of a hedge. She has a kitchen, a parlour, a pantry, a larder, and a bedroom where she keeps her dust-pan and brush next to her little box bed.
He discovers a butterfly in the sugar bowl, but when he finds the bees, he makes a big mess pulling out their nest. Mrs. Tittlemouse fears she ""shall go distracted"" as a result of the turmoil and takes refuge in the nut-cellar. When she finally ventures forth, she discovers everybody has left but her house is a mess. She takes some moss, beeswax, and twigs to partly close up her front door to keep Mr.
Tiggy-winkle [is] nothing but a HEDGEHOG!""
The narrator tells the reader that some thought Lucie had fallen asleep on the stile and dreamed the encounter, but if so, then how could she have three clean handkerchiefs and a laundered pinafore? ""Besides,"" the narrator assures the reader, ""I have seen that door into the back of the hill called Catbells – and besides I am very well acquainted with dear Mrs.
Mrs. Tittlemouse is a tale in which no humans play a part and one in which events are treated as though they have occurred since time immemorial and far from human observance. It is a simple story, and one likely to appeal to young children.
Mrs.
Her little black nose goes sniffle, sniffle, snuffle, and her eyes go twinkle, twinkle, and beneath her little white cap are prickles! She is Mrs. Tiggy-winkle, the animals' laundress and ""an excellent clear-starcher"". She keeps busy with her work. She has found Lucy's lost things, and launders them for her. She also shows Lucie items belonging to Mrs.
At the bottom of the hill, Lucie mounts the stile and turns to thank Mrs. Tiggy-winkle. ""But what a very odd thing!"" Mrs. Tiggy-winkle is ""running running running up the hill"". Her cap, shawl, and print gown are nowhere to be seen. How small and brown she has grown – and covered with prickles! ""Why! Mrs.
Tiggywinkle's animal customers. They have tea together though Lucie keeps away from Mrs. Tiggywinkle due to the prickles.
The laundered clothing is tied up in bundles and Lucie's handkerchiefs are neatly folded into her clean pinafore. They set off together down the path to return the fresh laundry to the little animals and birds in the neighbourhood.
He takes no offence at being excluded from the parlour. Acorn-cupfuls of honeydew are passed through the window to him and he toasts Mrs. Tittlemouse's good health.
A little girl named Lucie lives on a farm called Little-town. She is a good little girl, but has lost three pocket handkerchiefs and a pinafore. She questions Tabby Kitten and Sally Henny-penny about them, but they know nothing (especially since Tabby Kitten licks her paw, and Sally Henny-penny flaps back into the barn clucking, ""I go barefoot, barefoot, barefoot!""
Tittlemouse meets Babbitty Bumble, a bumble bee who has taken up residence with three or four other bees in one of the empty storerooms. Mrs. Tittlemouse tries to pull out their nest but they buzz fiercely at her, and she retreats to deal with the matter after dinner.
In her parlour, she finds her toad neighbour Mr. Jackson sitting before the fire in her rocking chair. Mr.",A dust-pan and brush.,A dust pan and brush,0.17522025108337402,0.4262549877166748,0.03134140372276306,35.89500999864023,0.07509279251098633,906,8
What does Mrs. Tittlemouse keep beside her bed?,"Tittlemouse is a ""most terribly tidy little mouse always sweeping and dusting the soft sandy floors"" in the ""yards and yards"" of passages and storerooms, nut-cellars, and seed-cellars in her ""funny house"" amongst the roots of a hedge. She has a kitchen, a parlour, a pantry, a larder, and a bedroom where she keeps her dust-pan and brush next to her little box bed.
He discovers a butterfly in the sugar bowl, but when he finds the bees, he makes a big mess pulling out their nest. Mrs. Tittlemouse fears she ""shall go distracted"" as a result of the turmoil and takes refuge in the nut-cellar. When she finally ventures forth, she discovers everybody has left but her house is a mess. She takes some moss, beeswax, and twigs to partly close up her front door to keep Mr.
Tiggy-winkle [is] nothing but a HEDGEHOG!""
The narrator tells the reader that some thought Lucie had fallen asleep on the stile and dreamed the encounter, but if so, then how could she have three clean handkerchiefs and a laundered pinafore? ""Besides,"" the narrator assures the reader, ""I have seen that door into the back of the hill called Catbells – and besides I am very well acquainted with dear Mrs.
Mrs. Tittlemouse is a tale in which no humans play a part and one in which events are treated as though they have occurred since time immemorial and far from human observance. It is a simple story, and one likely to appeal to young children.
Mrs.
Her little black nose goes sniffle, sniffle, snuffle, and her eyes go twinkle, twinkle, and beneath her little white cap are prickles! She is Mrs. Tiggy-winkle, the animals' laundress and ""an excellent clear-starcher"". She keeps busy with her work. She has found Lucy's lost things, and launders them for her. She also shows Lucie items belonging to Mrs.
At the bottom of the hill, Lucie mounts the stile and turns to thank Mrs. Tiggy-winkle. ""But what a very odd thing!"" Mrs. Tiggy-winkle is ""running running running up the hill"". Her cap, shawl, and print gown are nowhere to be seen. How small and brown she has grown – and covered with prickles! ""Why! Mrs.
Tiggywinkle's animal customers. They have tea together though Lucie keeps away from Mrs. Tiggywinkle due to the prickles.
The laundered clothing is tied up in bundles and Lucie's handkerchiefs are neatly folded into her clean pinafore. They set off together down the path to return the fresh laundry to the little animals and birds in the neighbourhood.
He takes no offence at being excluded from the parlour. Acorn-cupfuls of honeydew are passed through the window to him and he toasts Mrs. Tittlemouse's good health.
A little girl named Lucie lives on a farm called Little-town. She is a good little girl, but has lost three pocket handkerchiefs and a pinafore. She questions Tabby Kitten and Sally Henny-penny about them, but they know nothing (especially since Tabby Kitten licks her paw, and Sally Henny-penny flaps back into the barn clucking, ""I go barefoot, barefoot, barefoot!""
Tittlemouse meets Babbitty Bumble, a bumble bee who has taken up residence with three or four other bees in one of the empty storerooms. Mrs. Tittlemouse tries to pull out their nest but they buzz fiercely at her, and she retreats to deal with the matter after dinner.
In her parlour, she finds her toad neighbour Mr. Jackson sitting before the fire in her rocking chair. Mr.",Her dust-pan and brush.,A dust pan and brush,0.1763901710510254,0.42613840103149414,0.031197279691696167,36.06083642925582,0.06772422790527344,906,8
What does Mrs. Tittlemouse keep beside her bed?,"Tittlemouse is a ""most terribly tidy little mouse always sweeping and dusting the soft sandy floors"" in the ""yards and yards"" of passages and storerooms, nut-cellars, and seed-cellars in her ""funny house"" amongst the roots of a hedge. She has a kitchen, a parlour, a pantry, a larder, and a bedroom where she keeps her dust-pan and brush next to her little box bed.
He discovers a butterfly in the sugar bowl, but when he finds the bees, he makes a big mess pulling out their nest. Mrs. Tittlemouse fears she ""shall go distracted"" as a result of the turmoil and takes refuge in the nut-cellar. When she finally ventures forth, she discovers everybody has left but her house is a mess. She takes some moss, beeswax, and twigs to partly close up her front door to keep Mr.
Tiggy-winkle [is] nothing but a HEDGEHOG!""
The narrator tells the reader that some thought Lucie had fallen asleep on the stile and dreamed the encounter, but if so, then how could she have three clean handkerchiefs and a laundered pinafore? ""Besides,"" the narrator assures the reader, ""I have seen that door into the back of the hill called Catbells – and besides I am very well acquainted with dear Mrs.
Mrs. Tittlemouse is a tale in which no humans play a part and one in which events are treated as though they have occurred since time immemorial and far from human observance. It is a simple story, and one likely to appeal to young children.
Mrs.
Her little black nose goes sniffle, sniffle, snuffle, and her eyes go twinkle, twinkle, and beneath her little white cap are prickles! She is Mrs. Tiggy-winkle, the animals' laundress and ""an excellent clear-starcher"". She keeps busy with her work. She has found Lucy's lost things, and launders them for her. She also shows Lucie items belonging to Mrs.
At the bottom of the hill, Lucie mounts the stile and turns to thank Mrs. Tiggy-winkle. ""But what a very odd thing!"" Mrs. Tiggy-winkle is ""running running running up the hill"". Her cap, shawl, and print gown are nowhere to be seen. How small and brown she has grown – and covered with prickles! ""Why! Mrs.
Tiggywinkle's animal customers. They have tea together though Lucie keeps away from Mrs. Tiggywinkle due to the prickles.
The laundered clothing is tied up in bundles and Lucie's handkerchiefs are neatly folded into her clean pinafore. They set off together down the path to return the fresh laundry to the little animals and birds in the neighbourhood.
He takes no offence at being excluded from the parlour. Acorn-cupfuls of honeydew are passed through the window to him and he toasts Mrs. Tittlemouse's good health.
A little girl named Lucie lives on a farm called Little-town. She is a good little girl, but has lost three pocket handkerchiefs and a pinafore. She questions Tabby Kitten and Sally Henny-penny about them, but they know nothing (especially since Tabby Kitten licks her paw, and Sally Henny-penny flaps back into the barn clucking, ""I go barefoot, barefoot, barefoot!""
Tittlemouse meets Babbitty Bumble, a bumble bee who has taken up residence with three or four other bees in one of the empty storerooms. Mrs. Tittlemouse tries to pull out their nest but they buzz fiercely at her, and she retreats to deal with the matter after dinner.
In her parlour, she finds her toad neighbour Mr. Jackson sitting before the fire in her rocking chair. Mr.",Her dust-pan and brush.,A dust pan and brush,0.17690658569335938,0.4264976978302002,0.031177937984466553,36.083207316676834,0.06944799423217773,906,8
What does Mrs. Tittlemouse keep beside her bed?,"Tittlemouse is a ""most terribly tidy little mouse always sweeping and dusting the soft sandy floors"" in the ""yards and yards"" of passages and storerooms, nut-cellars, and seed-cellars in her ""funny house"" amongst the roots of a hedge. She has a kitchen, a parlour, a pantry, a larder, and a bedroom where she keeps her dust-pan and brush next to her little box bed.
He discovers a butterfly in the sugar bowl, but when he finds the bees, he makes a big mess pulling out their nest. Mrs. Tittlemouse fears she ""shall go distracted"" as a result of the turmoil and takes refuge in the nut-cellar. When she finally ventures forth, she discovers everybody has left but her house is a mess. She takes some moss, beeswax, and twigs to partly close up her front door to keep Mr.
Tiggy-winkle [is] nothing but a HEDGEHOG!""
The narrator tells the reader that some thought Lucie had fallen asleep on the stile and dreamed the encounter, but if so, then how could she have three clean handkerchiefs and a laundered pinafore? ""Besides,"" the narrator assures the reader, ""I have seen that door into the back of the hill called Catbells – and besides I am very well acquainted with dear Mrs.
Mrs. Tittlemouse is a tale in which no humans play a part and one in which events are treated as though they have occurred since time immemorial and far from human observance. It is a simple story, and one likely to appeal to young children.
Mrs.
Her little black nose goes sniffle, sniffle, snuffle, and her eyes go twinkle, twinkle, and beneath her little white cap are prickles! She is Mrs. Tiggy-winkle, the animals' laundress and ""an excellent clear-starcher"". She keeps busy with her work. She has found Lucy's lost things, and launders them for her. She also shows Lucie items belonging to Mrs.
At the bottom of the hill, Lucie mounts the stile and turns to thank Mrs. Tiggy-winkle. ""But what a very odd thing!"" Mrs. Tiggy-winkle is ""running running running up the hill"". Her cap, shawl, and print gown are nowhere to be seen. How small and brown she has grown – and covered with prickles! ""Why! Mrs.
Tiggywinkle's animal customers. They have tea together though Lucie keeps away from Mrs. Tiggywinkle due to the prickles.
The laundered clothing is tied up in bundles and Lucie's handkerchiefs are neatly folded into her clean pinafore. They set off together down the path to return the fresh laundry to the little animals and birds in the neighbourhood.
He takes no offence at being excluded from the parlour. Acorn-cupfuls of honeydew are passed through the window to him and he toasts Mrs. Tittlemouse's good health.
A little girl named Lucie lives on a farm called Little-town. She is a good little girl, but has lost three pocket handkerchiefs and a pinafore. She questions Tabby Kitten and Sally Henny-penny about them, but they know nothing (especially since Tabby Kitten licks her paw, and Sally Henny-penny flaps back into the barn clucking, ""I go barefoot, barefoot, barefoot!""
Tittlemouse meets Babbitty Bumble, a bumble bee who has taken up residence with three or four other bees in one of the empty storerooms. Mrs. Tittlemouse tries to pull out their nest but they buzz fiercely at her, and she retreats to deal with the matter after dinner.
In her parlour, she finds her toad neighbour Mr. Jackson sitting before the fire in her rocking chair. Mr.",A dust-pan and brush.,A dust pan and brush,0.17589950561523438,0.4269528388977051,0.031360089778900146,35.87362178908455,0.06168699264526367,906,8
What does Mrs. Tittlemouse keep beside her bed?,"Tittlemouse is a ""most terribly tidy little mouse always sweeping and dusting the soft sandy floors"" in the ""yards and yards"" of passages and storerooms, nut-cellars, and seed-cellars in her ""funny house"" amongst the roots of a hedge. She has a kitchen, a parlour, a pantry, a larder, and a bedroom where she keeps her dust-pan and brush next to her little box bed.
He discovers a butterfly in the sugar bowl, but when he finds the bees, he makes a big mess pulling out their nest. Mrs. Tittlemouse fears she ""shall go distracted"" as a result of the turmoil and takes refuge in the nut-cellar. When she finally ventures forth, she discovers everybody has left but her house is a mess. She takes some moss, beeswax, and twigs to partly close up her front door to keep Mr.
Tiggy-winkle [is] nothing but a HEDGEHOG!""
The narrator tells the reader that some thought Lucie had fallen asleep on the stile and dreamed the encounter, but if so, then how could she have three clean handkerchiefs and a laundered pinafore? ""Besides,"" the narrator assures the reader, ""I have seen that door into the back of the hill called Catbells – and besides I am very well acquainted with dear Mrs.
Mrs. Tittlemouse is a tale in which no humans play a part and one in which events are treated as though they have occurred since time immemorial and far from human observance. It is a simple story, and one likely to appeal to young children.
Mrs.
Her little black nose goes sniffle, sniffle, snuffle, and her eyes go twinkle, twinkle, and beneath her little white cap are prickles! She is Mrs. Tiggy-winkle, the animals' laundress and ""an excellent clear-starcher"". She keeps busy with her work. She has found Lucy's lost things, and launders them for her. She also shows Lucie items belonging to Mrs.
At the bottom of the hill, Lucie mounts the stile and turns to thank Mrs. Tiggy-winkle. ""But what a very odd thing!"" Mrs. Tiggy-winkle is ""running running running up the hill"". Her cap, shawl, and print gown are nowhere to be seen. How small and brown she has grown – and covered with prickles! ""Why! Mrs.
Tiggywinkle's animal customers. They have tea together though Lucie keeps away from Mrs. Tiggywinkle due to the prickles.
The laundered clothing is tied up in bundles and Lucie's handkerchiefs are neatly folded into her clean pinafore. They set off together down the path to return the fresh laundry to the little animals and birds in the neighbourhood.
He takes no offence at being excluded from the parlour. Acorn-cupfuls of honeydew are passed through the window to him and he toasts Mrs. Tittlemouse's good health.
A little girl named Lucie lives on a farm called Little-town. She is a good little girl, but has lost three pocket handkerchiefs and a pinafore. She questions Tabby Kitten and Sally Henny-penny about them, but they know nothing (especially since Tabby Kitten licks her paw, and Sally Henny-penny flaps back into the barn clucking, ""I go barefoot, barefoot, barefoot!""
Tittlemouse meets Babbitty Bumble, a bumble bee who has taken up residence with three or four other bees in one of the empty storerooms. Mrs. Tittlemouse tries to pull out their nest but they buzz fiercely at her, and she retreats to deal with the matter after dinner.
In her parlour, she finds her toad neighbour Mr. Jackson sitting before the fire in her rocking chair. Mr.",A dust-pan and brush.,A dust pan and brush,0.17598581314086914,0.4257798194885254,0.031202644109725952,36.05463678154552,0.06870293617248535,906,8
What does Mrs. Tittlemouse keep beside her bed?,"Tittlemouse is a ""most terribly tidy little mouse always sweeping and dusting the soft sandy floors"" in the ""yards and yards"" of passages and storerooms, nut-cellars, and seed-cellars in her ""funny house"" amongst the roots of a hedge. She has a kitchen, a parlour, a pantry, a larder, and a bedroom where she keeps her dust-pan and brush next to her little box bed.
He discovers a butterfly in the sugar bowl, but when he finds the bees, he makes a big mess pulling out their nest. Mrs. Tittlemouse fears she ""shall go distracted"" as a result of the turmoil and takes refuge in the nut-cellar. When she finally ventures forth, she discovers everybody has left but her house is a mess. She takes some moss, beeswax, and twigs to partly close up her front door to keep Mr.
Tiggy-winkle [is] nothing but a HEDGEHOG!""
The narrator tells the reader that some thought Lucie had fallen asleep on the stile and dreamed the encounter, but if so, then how could she have three clean handkerchiefs and a laundered pinafore? ""Besides,"" the narrator assures the reader, ""I have seen that door into the back of the hill called Catbells – and besides I am very well acquainted with dear Mrs.
Mrs. Tittlemouse is a tale in which no humans play a part and one in which events are treated as though they have occurred since time immemorial and far from human observance. It is a simple story, and one likely to appeal to young children.
Mrs.
Her little black nose goes sniffle, sniffle, snuffle, and her eyes go twinkle, twinkle, and beneath her little white cap are prickles! She is Mrs. Tiggy-winkle, the animals' laundress and ""an excellent clear-starcher"". She keeps busy with her work. She has found Lucy's lost things, and launders them for her. She also shows Lucie items belonging to Mrs.
At the bottom of the hill, Lucie mounts the stile and turns to thank Mrs. Tiggy-winkle. ""But what a very odd thing!"" Mrs. Tiggy-winkle is ""running running running up the hill"". Her cap, shawl, and print gown are nowhere to be seen. How small and brown she has grown – and covered with prickles! ""Why! Mrs.
Tiggywinkle's animal customers. They have tea together though Lucie keeps away from Mrs. Tiggywinkle due to the prickles.
The laundered clothing is tied up in bundles and Lucie's handkerchiefs are neatly folded into her clean pinafore. They set off together down the path to return the fresh laundry to the little animals and birds in the neighbourhood.
He takes no offence at being excluded from the parlour. Acorn-cupfuls of honeydew are passed through the window to him and he toasts Mrs. Tittlemouse's good health.
A little girl named Lucie lives on a farm called Little-town. She is a good little girl, but has lost three pocket handkerchiefs and a pinafore. She questions Tabby Kitten and Sally Henny-penny about them, but they know nothing (especially since Tabby Kitten licks her paw, and Sally Henny-penny flaps back into the barn clucking, ""I go barefoot, barefoot, barefoot!""
Tittlemouse meets Babbitty Bumble, a bumble bee who has taken up residence with three or four other bees in one of the empty storerooms. Mrs. Tittlemouse tries to pull out their nest but they buzz fiercely at her, and she retreats to deal with the matter after dinner.
In her parlour, she finds her toad neighbour Mr. Jackson sitting before the fire in her rocking chair. Mr.",Dust-pan.,A dust pan and brush,0.17592883110046387,0.35428333282470703,0.029697299003601074,39.28527865531466,0.0691835880279541,906,6
